nome,sku,quantidade,total,porcentagem_das_vendas
"Cidra Cristalizada 300 g",T9KLBY9AZO,2,117.6,0.09
"Uva Passa Em Rama 300 g",2NN7O6R0JF,2,76.8,0.06
"Coco Verde 4 un Normal",4NWEEEM8OU,2,119.92,0.1
"Uva passa branca sem semente 300 g",A7J1CGORQT,2,46.08,0.04
"Castanha de Caju W4 Torrada Salgada 500 g",J0IVK9VUX6,2,136,0.11
"Nêspera 1Kg Maduro",HVUZDJ3LBW,2,198,0.16
"Mamão papaya 2 un Verde",823Y56NPEK,2,59.98,0.05
"Banana Passa 300 g",RDTQEN4852,2,54.72,0.04
"Beringela 1 Kg",NK742X725I,2,39.96,0.03
"Nozes chilenas inteiras 300 g",IRQK2ALVTH,2,86.4,0.07
"Morango hidropônico",F50PRQMN6X,2,199.98,0.16
"Ameixa importada  - 500g",N9DJ7HCV19,2,89.9,0.07
"Banana Prata 24UN Maduro",DNXF2UFFLD,2,127.92,0.1
"Maracujá azedo graúdo 6 un Normal",D06W792T2D,2,103.96,0.08
"Pêssego Fresco Premium 1kg Maduro",AJ7EIVMTTE,2,179.8,0.14
"Achachairu 500g Normal",6V24IGHLGU,2,149.98,0.12
"Castanha de Caju W4 Torrada Salgada 500 g",J0IVK9VUX6,2,136,0.11
"Uva passa branca sem semente 300 g",A7J1CGORQT,2,46.08,0.04
"Cidra Cristalizada 300 g",T9KLBY9AZO,2,117.6,0.09
"Goiaba graúda 2 un Normal",NIPA73KQX2,2,51.96,0.04
"Uva passa branca sem semente   300g",KBPOEQAPF4,2,43.2,0.03
"Azeite EA 500ML 0,2 de acidez extravirgem   Preço por unidade",MDRHYAUJNH,2,225,0.18
"Provolone desidratado   300g",TEHOFFOOCG,2,153,0.12
"Cidra cristalizada   300g",SH90YXF7S3,2,54,0.04
"Banana passa   300g",GNOIXCBXIP,2,51.3,0.04
"Figo Roxo 300g Maduro",OKS98J6OSI,2,86.6,0.07
"Pêra Asiática 500g Normal",IW8MC2KB6A,2,89.9,0.07
"Laranja chamanhe - 500g",54L6Y3A386,2,69.9,0.06
"Goiaba graúda 4 un Normal",JNN5IPYJ32,2,103.92,0.08
"Macadâmia Caramelizada 300 g",34DYO16083,2,180.48,0.14
"Roma Importada 300g Normal",2EMPSFCPLX,2,53.94,0.04
"Atemoia 1Kg Verde",7TNSPK9K6Y,2,179.8,0.14
"Alface crespa 1 un",1GCJ5L0X7N,2,15.98,0.01
"Pistache Torrado com Casca 300 g",QFMJ3E7E1N,2,101.76,0.08
"Alface Roxa - 1UN",BDB3X3H9IL,2,15.98,0.01
"Cereja 1Kg Normal",B7P6IQG73H,2,300,0.24
"Cereja Fresca 1Kg Maduro",AUAUBVPRBM,2,400,0.32
"Pistache Cru 300 g",5CAUT260GV,2,230.4,0.19
